Part,Value,Mouser PN
C1,100nF,581-06035C104KAT2A
C2,100nF,581-06035C104KAT2A
C3,100nF,581-06035C104KAT2A
C4,100nF,581-06035C104KAT2A
C5,100nF,581-06035C104KAT2A
C6,100nF,581-06035C104KAT2A
C7,100nF,581-06035C104KAT2A
C8,100nF,581-06035C104KAT2A
C9,100nF,581-06035C104KAT2A
C10,100nF,581-06035C104KAT2A
C12,100nF,581-06035C104KAT2A
C13,100nF,581-06035C104KAT2A
C15,100nF,581-06035C104KAT2A
C16,100nF,581-06035C104KAT2A
IC1,"74HC138PW,118",771-74HC138PW-T
IC2,"74HC138PW,118",771-74HC138PW-T
IC3,SN74HC251NSR,595-SN74HC251NSR
IC4,SN74HC251NSR,595-SN74HC251NSR
IC5,MC74HC04ADG,863-MC74HC04ADG
IC6,SN74CBT3245APWR,595-SN74CBT3245APWR
IC7,SN74CBT3245APWR,595-SN74CBT3245APWR
IC8,SN74CBT3245APWR,595-SN74CBT3245APWR
IC9,SN74HC251NSR,595-SN74HC251NSR
IC10,SN74HC251NSR,595-SN74HC251NSR
IC11,SN74ALS138AN,595-SN74ALS138AN
IC12,CD74HC238PWR,595-CD74HC238PWR
IC13,CD74HC238PWR,595-CD74HC238PWR
IC16,"74HC138PW,118",771-74HC138PW-T
IC17,"74HC138PW,118",771-74HC138PW-T
J1,Pin Strip,
J2,Pin Strip,
J3,Pin Strip,
J4,Pin Strip,
J5,Pin Strip,
J6,Pin Strip,
J7,Pin Strip,
J8,Pin Strip,
J9,2-5499206-1,571-2-5499206-1
J9 Cable Conn,1658527-4,571-1658527-4
J10,2-5499206-6,571-2-5499206-6
J10 Cable Conn,1-1658527-0,571-1-1658527-0
J11,2-5499206-6,571-2-5499206-6
J11 Cable Conn,1-1658527-0,571-1-1658527-0
J12,2-5499206-6,571-2-5499206-6
J12 Cable Conn,1-1658527-0,571-1-1658527-0
R1,PTV09A-4020F-A504,652-PTV09A-4020FA504
R2,1.5K,CR0603-FX-1501ELF
R3,1.5K,CR0603-FX-1501ELF
RN1,CAY17-103JALF,652-CAY17-103JALF
RN2,CAY17-103JALF,652-CAY17-103JALF
RN3,4816P-T01-101LF,652-4816P-T1LF-100
RN4,4816P-T01-101LF,652-4816P-T1LF-100
RN5,4816P-T01-101LF,652-4816P-T1LF-100