Part,Value,Mouser,
C1,100nf,581-06035C104KAT2A,
C2,100nf,581-06035C104KAT2A,
C3,100nf,581-06035C104KAT2A,
C4,100nf,581-06035C104KAT2A,
C5,100nf,581-06035C104KAT2A,
C6,100nf,581-06035C104KAT2A,
C7,100nf,581-06035C104KAT2A,
C8,100nf,581-06035C104KAT2A,
C9,220uf 10V,647-UFW1A221MED,
C10,220uf 10V,647-UFW1A221MED,
J1,2-5499206-6,571-2-5499206-6,
J1 Cable Conn,1-1658527-0,571-1-1658527-0,
J2,2-5499206-6,571-2-5499206-6,
J2 Cable Conn,1-1658527-0,571-1-1658527-0,
J3,2-5499206-6,571-2-5499206-6,
J3 Cable Conn,1-1658527-0,571-1-1658527-0,
P1,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P2,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P3,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P4,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P5,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P6,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P7,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P8,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P9,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P10,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P11,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P12,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P13,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P14,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P15,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P16,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P17,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P18,CARTRIDGE_CONNECTOR,https://www.aliexpress.com/item/32785406388.html,
P19,LED_BOARD_CONNECTOR,B7B-PH-K-S(LF)(SN),
P20,LED_BOARD_CONNECTOR,B7B-PH-K-S(LF)(SN),
P21,LED_BOARD_CONNECTOR,B7B-PH-K-S(LF)(SN),